announcement_day,n,median_citations,avg_listing_size,n_announcement_dates
Monday,2519,16.0000,9.9565,253
Tuesday,2124,18.0000,8.4960,250
Wednesday,1975,17.0000,8.1276,243
Thursday,1918,19.0000,7.8286,245
Friday,1617,18.0000,6.8228,237
