announcement_day,n,median_citations,avg_listing_size,n_announcement_dates
Monday,3281,15.0000,12.5709,261
Tuesday,3006,17.0000,11.7882,255
Wednesday,2788,16.0000,11.2419,248
Thursday,2766,16.0000,10.3596,267
Friday,2497,16.0000,9.7539,256
