day,n,mean,sem,median,ci_lo,ci_hi
Monday,3281,1.4965,0.0364,0.9333,0.8947,1.0000
Tuesday,3006,1.5489,0.0327,1.0000,1.0000,1.0667
Wednesday,2788,1.5880,0.0379,1.0000,0.9524,1.0526
Thursday,2766,1.6218,0.0584,1.0000,1.0000,1.0667
Friday,2497,1.5762,0.0395,1.0000,0.9524,1.0476
