Day,N,Mean,SEM,Median,CI_lo_95,CI_hi_95
Monday,3281,24.7452,0.5746,15.0000,15.0000,16.0000
Tuesday,3006,25.8952,0.5635,17.0000,16.0000,17.0000
Wednesday,2788,26.4397,0.6157,16.0000,16.0000,17.0000
Thursday,2766,27.5568,1.1505,16.0000,16.0000,17.0000
Friday,2497,26.5118,0.6916,16.0000,16.0000,17.0000
