day,n,mean,sem,median,ci_lo,ci_hi
Monday,210,2.0822,0.3098,0.9258,0.8059,1.1429
Tuesday,204,2.5791,0.3647,1.0714,0.8571,1.3156
Wednesday,147,1.9049,0.2756,0.8571,0.6957,1.0000
Thursday,177,2.3768,0.2860,1.2143,1.0182,1.3478
Friday,155,2.7172,0.5375,1.0000,0.8571,1.1636
