announcement_day,n,median_citations,avg_listing_size,n_announcement_dates
Monday,210,20.5000,1.5108,139
Tuesday,204,24.0000,1.6721,122
Wednesday,147,18.0000,1.3486,109
Thursday,177,26.0000,1.5391,115
Friday,155,23.0000,1.4904,104
