Day,N,Mean,SEM,Median,CI_lo_95,CI_hi_95
Monday,210,41.8952,4.9396,20.5000,17.0000,24.5000
Tuesday,204,62.6814,9.0450,24.0000,20.5000,30.5000
Wednesday,147,44.9728,6.5671,18.0000,14.0000,23.0000
Thursday,177,59.6441,7.7911,26.0000,23.0000,31.0000
Friday,155,71.8000,15.0448,23.0000,19.0000,28.0000
