Day,N,Mean,SEM,Median,CI_lo_95,CI_hi_95
Monday,357,28.9804,2.4344,19.0000,16.0000,21.0000
Tuesday,330,36.3939,3.3593,21.0000,18.0000,26.5000
Wednesday,293,32.3686,3.1150,19.0000,17.0000,22.0000
Thursday,327,36.9205,4.6310,18.0000,15.0000,21.0000
Friday,271,32.3137,2.0712,20.0000,17.0000,24.0000
