day,n,mean,sem,median,ci_lo,ci_hi
Monday,357,1.4297,0.1051,0.9375,0.8125,1.1200
Tuesday,330,1.7370,0.1411,1.0400,0.8800,1.2000
Wednesday,293,1.5474,0.1290,1.0000,0.8400,1.1600
Thursday,327,1.7711,0.1935,0.9600,0.8125,1.1333
Friday,271,1.6142,0.1013,1.0000,0.8800,1.2000
