announcement_day,n,median_citations,avg_listing_size,n_announcement_dates
Monday,558,25.0000,2.7624,202
Tuesday,487,24.0000,2.4596,198
Wednesday,435,27.0000,2.3901,182
Thursday,473,25.0000,2.4895,190
Friday,372,22.0000,2.1257,175
