day,n,mean,sem,median,ci_lo,ci_hi
Monday,558,1.5694,0.0836,1.0000,0.8988,1.0870
Tuesday,487,2.0632,0.2323,1.0000,0.9048,1.1429
Wednesday,435,2.4025,0.2872,1.1429,0.9615,1.2500
Thursday,473,1.9306,0.2668,1.0357,0.9048,1.1429
Friday,372,1.9120,0.2466,0.8771,0.7842,1.0000
