Day,N,Mean,SEM,Median,CI_lo_95,CI_hi_95
Monday,558,38.2581,2.0747,25.0000,22.0000,27.0000
Tuesday,487,50.8214,6.1699,24.0000,22.0000,28.0000
Wednesday,435,58.6667,6.8289,27.0000,24.0000,32.0000
Thursday,473,46.3404,5.8013,25.0000,22.0000,27.0000
Friday,372,47.7984,6.3357,22.0000,20.0000,24.0000
