day,n,mean,sem,median,ci_lo,ci_hi
Monday,1958,1.7769,0.1970,0.9500,0.9231,1.0000
Tuesday,1675,2.3782,0.5106,1.0625,1.0000,1.1250
Wednesday,1537,1.6877,0.0931,1.0435,0.9565,1.1000
Thursday,1418,1.8733,0.1712,1.0562,1.0000,1.1250
Friday,1298,1.6097,0.0525,1.0625,1.0000,1.1304
