Day,N,Mean,SEM,Median,CI_lo_95,CI_hi_95
Monday,1958,30.1272,2.6647,17.0000,16.0000,18.0000
Tuesday,1675,46.3988,11.7195,18.0000,17.0000,19.0000
Wednesday,1537,29.8861,1.5630,18.0000,17.0000,19.0000
Thursday,1418,34.1890,3.4027,18.0000,17.0000,19.0000
Friday,1298,29.2827,1.0194,18.0000,17.0000,19.0000
