announcement_day,n,median_citations,avg_listing_size,n_announcement_dates
Monday,1958,17.0000,8.1925,239
Tuesday,1675,18.0000,7.0378,238
Wednesday,1537,18.0000,6.6537,231
Thursday,1418,18.0000,6.1385,231
Friday,1298,18.0000,5.5234,235
